Date : 2024-03-11 22:57:25
Directory : d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources
Total : 326 files,  84102 codes, 8867 comments, 12465 blanks, all 105434 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         41 |     40,029 |        248 |      6,922 |     47,199 |
| JavaScript |         97 |     32,721 |      7,986 |      6,483 |     47,190 |
| XML        |          4 |      8,904 |         12 |          5 |      8,921 |
| HTML       |         41 |      7,393 |      1,016 |        288 |      8,697 |
| Properties |          3 |        290 |         19 |         47 |        356 |
| SCSS       |          2 |        257 |         10 |         29 |        296 |
| Less       |          2 |        239 |          6 |         25 |        270 |
| Markdown   |          2 |         86 |          0 |         36 |        122 |
| JSON       |          2 |         56 |          0 |          1 |         57 |
| Ruby       |          1 |          8 |          0 |          2 |         10 |
| Java       |        131 |     -5,881 |       -430 |     -1,373 |     -7,684 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        326 |     84,102 |      8,867 |     12,465 |    105,434 |
| . (Files)                                                                                                             |          1 |         21 |          8 |          8 |         37 |
| ..                                                                                                                    |        131 |     -5,881 |       -430 |     -1,373 |     -7,684 |
| ..\java                                                                                                               |        131 |     -5,881 |       -430 |     -1,373 |     -7,684 |
| ..\java\com                                                                                                           |        131 |     -5,881 |       -430 |     -1,373 |     -7,684 |
| ..\java\com\nxm                                                                                                       |        131 |     -5,881 |       -430 |     -1,373 |     -7,684 |
| ..\java\com\nxm\palceup                                                                                               |        131 |     -5,881 |       -430 |     -1,373 |     -7,684 |
| ..\java\com\nxm\palceup (Files)                                                                                       |          1 |        -22 |          0 |         -5 |        -27 |
| ..\java\com\nxm\palceup\config                                                                                        |          8 |       -178 |        -50 |        -41 |       -269 |
| ..\java\com\nxm\palceup\config (Files)                                                                                |          7 |       -150 |        -50 |        -37 |       -237 |
| ..\java\com\nxm\palceup\config\beans                                                                                  |          1 |        -28 |          0 |         -4 |        -32 |
| ..\java\com\nxm\palceup\controllers                                                                                   |          5 |        -97 |        -87 |        -34 |       -218 |
| ..\java\com\nxm\palceup\dto                                                                                           |         15 |       -276 |          0 |        -61 |       -337 |
| ..\java\com\nxm\palceup\entities                                                                                      |         17 |       -647 |        -10 |       -203 |       -860 |
| ..\java\com\nxm\palceup\i18n                                                                                          |          2 |        -60 |         -2 |        -12 |        -74 |
| ..\java\com\nxm\palceup\jwt                                                                                           |          3 |       -117 |         -1 |        -19 |       -137 |
| ..\java\com\nxm\palceup\repositories                                                                                  |         15 |       -378 |         -8 |       -124 |       -510 |
| ..\java\com\nxm\palceup\restcontrollers                                                                               |         22 |     -1,971 |       -132 |       -322 |     -2,425 |
| ..\java\com\nxm\palceup\restcontrollers\admin                                                                         |         22 |     -1,971 |       -132 |       -322 |     -2,425 |
| ..\java\com\nxm\palceup\service                                                                                       |         38 |     -2,061 |       -136 |       -526 |     -2,723 |
| ..\java\com\nxm\palceup\service (Files)                                                                               |         19 |       -315 |       -117 |       -188 |       -620 |
| ..\java\com\nxm\palceup\service\impl                                                                                  |         19 |     -1,746 |        -19 |       -338 |     -2,103 |
| ..\java\com\nxm\palceup\utils                                                                                         |          5 |        -74 |         -4 |        -26 |       -104 |
| i18n                                                                                                                  |          2 |        269 |         11 |         39 |        319 |
| static                                                                                                                |        192 |     89,693 |      9,278 |     13,791 |    112,762 |
| static\admin                                                                                                          |         69 |     24,865 |      3,858 |      2,199 |     30,922 |
| static\admin (Files)                                                                                                  |          4 |        537 |        188 |         36 |        761 |
| static\admin\Account                                                                                                  |          3 |        407 |         73 |         25 |        505 |
| static\admin\Bill                                                                                                     |          3 |        639 |         19 |         24 |        682 |
| static\admin\Cart                                                                                                     |          2 |        268 |          0 |          5 |        273 |
| static\admin\Payment                                                                                                  |          1 |        615 |         10 |         23 |        648 |
| static\admin\Product                                                                                                  |          8 |      1,494 |         25 |         68 |      1,587 |
| static\admin\ProductDetail                                                                                            |          1 |        246 |          1 |         12 |        259 |
| static\admin\Statistical                                                                                              |          1 |         44 |        400 |         14 |        458 |
| static\admin\css                                                                                                      |         10 |      8,825 |         98 |        216 |      9,139 |
| static\admin\ctrl                                                                                                     |         15 |      4,401 |        395 |        256 |      5,052 |
| static\admin\js                                                                                                       |         21 |      7,389 |      2,649 |      1,520 |     11,558 |
| static\asset                                                                                                          |          2 |          3 |         21 |          4 |         28 |
| static\asset (Files)                                                                                                  |          1 |          1 |         10 |          4 |         15 |
| static\asset\plugins                                                                                                  |          1 |          2 |         11 |          0 |         13 |
| static\css                                                                                                            |          6 |     10,339 |         20 |      1,653 |     12,012 |
| static\js                                                                                                             |          2 |        148 |          8 |         16 |        172 |
| static\lib                                                                                                            |          5 |        157 |         19 |          9 |        185 |
| static\lib\easing                                                                                                     |          2 |        154 |          9 |          8 |        171 |
| static\lib\owlcarousel                                                                                                |          3 |          3 |         10 |          1 |         14 |
| static\lib\owlcarousel (Files)                                                                                        |          2 |          2 |          5 |          1 |          8 |
| static\lib\owlcarousel\assets                                                                                         |          1 |          1 |          5 |          0 |          6 |
| static\mail                                                                                                           |          2 |         61 |          0 |          6 |         67 |
| static\user                                                                                                           |         54 |     13,188 |      3,387 |      1,812 |     18,387 |
| static\user (Files)                                                                                                   |          6 |      1,663 |        252 |         29 |      1,944 |
| static\user\Profile                                                                                                   |          1 |        117 |          6 |          2 |        125 |
| static\user\account                                                                                                   |          3 |        346 |          1 |         29 |        376 |
| static\user\address                                                                                                   |          1 |        217 |          4 |          2 |        223 |
| static\user\cart                                                                                                      |          2 |        145 |          4 |          3 |        152 |
| static\user\ctrl                                                                                                      |         14 |      2,470 |        438 |        205 |      3,113 |
| static\user\js                                                                                                        |         21 |      7,389 |      2,649 |      1,520 |     11,558 |
| static\user\product                                                                                                   |          4 |        539 |         23 |         11 |        573 |
| static\user\purchase                                                                                                  |          2 |        302 |         10 |         11 |        323 |
| static\vendor                                                                                                         |         52 |     40,932 |      1,965 |      8,092 |     50,989 |
