"filename", "language", "JavaScript", "Less", "JSON", "SCSS", "CSS", "HTML", "Ruby", "Markdown", "XML", "Properties", "comment", "blank", "total"
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\application.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 8, 8, 37
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\i18n\global_en.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 2, 20, 165
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\i18n\global_vi.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 9, 19, 154
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Account\Account.html", "HTML", 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 157
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Account\CreateAccount.html", "HTML", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 36, 14, 195
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Account\UpdateAccount.html", "HTML", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 36, 5, 153
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Bill\List_Bill.html", "HTML", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 6, 4, 173
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Bill\List_BillDetail.html", "HTML", 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 1, 6, 168
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Bill\Product_Return.html", "HTML", 0, 0, 0, 0, 0, 315, 0, 0, 0, 0, 12, 14, 341
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Cart\CartDetails.html", "HTML", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 3, 154
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Cart\List_Cart.html", "HTML", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 2, 119
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Payment\Payment.html", "HTML", 0, 0, 0, 0, 0, 615, 0, 0, 0, 0, 10, 23, 648
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\ProductDetail\List_ProductDetail.html", "HTML", 0, 0, 0, 0, 0, 246, 0, 0, 0, 0, 1, 12, 259
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\admin\Product\Category.html", "HTML", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 14, 9, 163
